"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEROX1",411.841148692052,2.22754020664962,0.646788904320177,3.44399879430666,0.000573178258224846,0.106705193087811
"CA5B",2513.47951256495,-0.324743802529066,0.0944437461763146,-3.43848921370411,0.000584969841516466,0.108056173282914
"RPL23AP75",5.55322855826275,-0.893078650454054,0.261308371138328,-3.41771925087424,0.000631482091135644,0.115750667305164
"AARSD1P1",270.948358074916,-0.554618647448181,0.162733625098456,-3.40813797463572,0.000654078129547067,0.118977311060894
"CEBPD",52.4820853098513,1.07758004935774,0.316810813939615,3.40133607170091,0.000670573333403002,0.121053726982274
"SUPT20HL2",1.12930538041743,-3.70351746834045,1.09251286195132,-3.38990743022069,0.000699162284296295,0.125265699793206
"BOK",32.9250375187416,0.588689427685525,0.174577933741903,3.37207237517111,0.000746048405818874,0.132668563151179
"PCDHB5",1.08913478790219,-2.44326882034383,0.72581445933037,-3.36624434652069,0.000761991780299968,0.134500015798281
"CPM",304.965778261358,-0.745935409561806,0.222064454182086,-3.35909415268308,0.000781984198444374,0.137013981358316
"NR4A3",528.523504727261,-0.96117204913052,0.287235960512058,-3.34628034531968,0.000819035422132593,0.142458358204362
"SAXO2",1724.77287817013,0.783178183958576,0.236495707042006,3.31159577378488,0.000927654804322496,0.160181785015947
"RPS4XP7",10.169340309851,-0.527589261607992,0.159585510472236,-3.30599726783955,0.000946390104920419,0.162241221655746
"DUXAP8",13.8251593262245,2.43952919784456,0.738682157928674,3.30254246926066,0.000958125779755147,0.163079851469896
"IL17REL",188.265052400824,1.37096882608826,0.416448525275904,3.29204869960811,0.000994603871388365,0.168088054264634
"PLEKHG2",13622.9469336767,-0.277487809704493,0.0844503281430505,-3.28581091164567,0.00101689248249556,0.170644584263287
"SMTN",865.957918565792,-0.503167480463385,0.155035669549376,-3.24549493626778,0.00117246649690047,0.195296921477096
"NCAM1",162.064081017519,0.907949043619142,0.279918011735659,3.24362493856439,0.00118019038535825,0.195296921477096
"RPSAP6",23.7095931794134,-0.701146806180801,0.216379472865906,-3.24035730790099,0.00119380004883848,0.196186630094981
"LOC101928283",93.7382837610007,0.420285565518492,0.129947851378883,3.23426329145747,0.00121956968707334,0.197694735192318
"POT1.AS1",93.7382837610007,0.420285565518492,0.129947851378883,3.23426329145747,0.00121956968707334,0.197694735192318
"CTAGE4",62.1375369173341,0.823621811366922,0.254966431757533,3.23031469550535,0.00123654031457737,0.199091345649083
"EIF1AX.AS1",9.78206160604925,-0.743270207840684,0.230258634540705,-3.22797974253291,0.00124667802258144,0.19937644698049
"FZD7",52.8085695098182,-0.91141977066859,0.283890531085901,-3.21046202979137,0.00132521775270257,0.21052409219433
"CHL1",144.063552741255,2.21680419816366,0.691585015894571,3.20539651267055,0.00134876537813075,0.212747468938913
"SLC19A2",1346.32781048395,-0.576116549523079,0.179832450354629,-3.20362953619871,0.00135706975864345,0.212747468938913
"TMX3",14072.5917717189,0.148242854327998,0.0464259217565102,3.19310524636402,0.00140751636306539,0.21921377395742
